source_tweet,favorite_count,retweet_count,reply_1,reply_2,reply_3,reply_4,reply_5,reply_6,reply_7,reply_8,reply_9,reply_10,reply_11,reply_12,reply_13,reply_14,reply_15,reply_16,reply_17,reply_18,reply_19,reply_20,reply_21,reply_22,reply_23,reply_24,reply_25,reply_26,reply_27,reply_28,reply_29,reply_30,reply_31,reply_32,reply_33,reply_34,reply_35,reply_36,reply_37,reply_38,reply_39,reply_40,reply_41,reply_42,reply_43,reply_44,reply_45,reply_46,reply_47,reply_48,reply_49,reply_50,reply_51,reply_52,reply_53,reply_54,reply_55,reply_56,reply_57,reply_58,reply_59,reply_60,reply_61,reply_62,reply_63,reply_64,reply_65,reply_66,reply_67,reply_68,reply_69,reply_70,reply_71,reply_72,reply_73,reply_74,reply_75,reply_76,reply_77,reply_78,reply_79,reply_80,reply_81,reply_82,reply_83,reply_84,reply_85,reply_86,reply_87,reply_88,reply_89,reply_90,reply_91,reply_92,reply_93,reply_94,reply_95,reply_96,reply_97,reply_98,reply_99,reply_100,reply_101,reply_102,reply_103,reply_104,reply_105,reply_106,reply_107,reply_108,reply_109,reply_110,reply_111,reply_112,reply_113,reply_114,reply_115,reply_116,reply_117,reply_118,reply_119,reply_120,reply_121,reply_122,reply_123,reply_124,reply_125,reply_126,reply_127,reply_128,reply_129,reply_130,reply_131,reply_132,reply_133,reply_134,reply_135,reply_136,reply_137,reply_138,reply_139,reply_140,reply_141,reply_142,reply_143,reply_144,reply_145,reply_146,reply_147,reply_148,reply_149,reply_150,reply_151,reply_152,reply_153,reply_154,reply_155,reply_156,reply_157,reply_158,reply_159,reply_160,reply_161,reply_162,Label
"There are no verses in the Quran about Me wanting anyone to hold hostages in a chocolate shop in Sydney, you terrorist fucks.",4533.0,4465.0,@withnodriver no shit sherlock. are you for real? and you said decades? try millenia. learn some history,"@withnodriver @basznocz Religion doesnt have to do anything with development , you fool!!!!?",@fury_jen @TheTweetOfGod blasphemer.,@runitright1 @TheTweetOfGod Sometime also Thor..,@Usairam1 mohamed liked to fuck little aisha. he liked 6 year old girls.,"@RStarovich @TheTweetOfGod Hahahha...you're right. But we're doing plenty all by ourselves; bombing here, massacring there, and so on",@Usairam1 @basznocz you're kidding they're making them hold islamic flags up and most of there crimes are religiously motivated,@nselby exactly. I'm holding off RTing this @TheTweetOfGod it may end up being actions of a lone weirdo; you have your share of them too,@withnodriver @basznocz Our religion is religion of peace. God does not like blood-shed.,@weisblumen with muslims,@runitright1 @TheTweetOfGod Allah and God are the same thing lol just different names,"@weisblumen Sorry, it is *revealed ......By God. On this issue. Did you read the next verse? Thats the answer",@Usairam1 @withnodriver if muslim follows his religion then yes it's terrorism. no other religion is filled with this hate.,@runitright1 @TheTweetOfGod Allah is the arabic word for God ......,"@TheTweetOfGod you should tweet this from your ""Allah"" alternate account so they take it serious.","@cIeopatrio @TheTweetOfGod you know this isn't really God's twitter account, right? Unless you're a Buddhist, then maybe (another joke)",@Usairam1 @IncredulousMark @withnodriver @basznocz well then it was communicated very wrongly.Not everyone who worships idols are traitors.,@withnodriver making a point about islam. grow a brain.,"@Usairam1 released by who? Is the 3 month contract mentioned in the text? I am sure there is also text to promote conversion of the ""Pagans""","@Usairam1 @basznocz its going to end badly for all muslims if it carries on, i have no idea what the objectives of isis are",@Usairam1 and is that explained in context? Or are you imagining a pact? Is the pact a word of mouth guess that people make about the verse?,"@TheTweetOfGod @Naradee12 But there aren't any forbidding it either. You're not expecting common sense from theists, surely?",@TheTweetOfGod The only cure for religion: education.,@live4footy @TheTweetOfGod OH MY GOD - BUT THAT IS ILLEGAL,@withnodriver @basznocz Moreover we ourselves are against terrorism .  They brutally kill our people. And we dont deem them as muslims.,@Usairam1 fuck islam fuck mohamed. go fuck your goats.,"@withnodriver @basznocz @TheTweetOfGod 
Tee hee  superb.",@Usairam1 @withnodriver bullshit. Daesh follows the sunnah.,@TheTweetOfGod @semibogan  actually there kind of is ...,"@fury_jen @TheTweetOfGod He can do whatever he wants, he's God. (PBUH)",@withnodriver @basznocz That full gown preserves her dignity. Those full gown are better than your prostitutes.,@weisblumen This verse was released on this issue.,"@basznocz Ok. I invite you to show me the verse that says ""chocolate shop"" photo in real book &amp; html text 4 google translate @TheTweetOfGod",@Usairam1 @withnodriver  lol. ya right. mohamed the psychopath pedophile slaver.,"@TheTweetOfGod wait, you're Allah too?","@Usairam1 @withnodriver @basznocz Bullshit Surah 9:5 ""...slay the idolaters wherever you find them, and take them captive...""",@Usairam1 @basznocz now they live in mud huts and wipe there arse with packets of quavers,@TheTweetOfGod Aren't we about due for a plague or two? Time to thin the herd.,"@virtualatheist @TheTweetOfGod @Naradee12 hah! As if that would have stopped them. Welcome to the monkey house, God","@weisblumen the next verse is:“If one amongst the Pagans ask thee for asylum,grant it to him...&amp;then escort him to where he can be secure..""",@Dawla__accountt MT @TheTweetOfGod There are no verses in the Quran about Me wanting anyone to hold hostages in a chocolate shop in Sydney.,@basznocz @TheTweetOfGod probably because its not actually true mate,@IncredulousMark @withnodriver @basznocz Do you know for what it was meant for? It was meant for the people who betrayed Muslims many times.,@weisblumen Yes... Muslims and idol worshippers signed a 3 months peace agreement but they broke the agreement....,@withnodriver @basznocz IF A MUSLIM DOES BAD THING ITS TERRORISM AND IF SOMEONE ELSE DOES THAT ITS NOT. WEre WW1 WW2 crusades e.t.c by us,@runitright1 Of course @TheTweetOfGod is Allah too - it's the same Guy.,@TheTweetOfGod Congrats on your 250★ tweet! http://t.co/ZXuUm6X5Hm,"@TheTweetOfGod specially around christmas, chocolate is easter your pricks",@TheTweetOfGod No. There are not. I just thank God that no one has any guns down there or this could get really bad.,"@Usairam1 @basznocz it does of a women can't fucking do anything but stay in her hut in a full gown, everyone following strict rules",@withnodriver @TheTweetOfGod what?,"@withnodriver We dont put them in our houses.... they work.. Some dont want to. BTW that ""full gown"" protects them from your abusive culture",So @TheTweetOfGod has actually gone mad with perceived power. What a goon.,"@basznocz @withnodriver LMAO WW2 killed more ppl than in any war and it was your doing, so stfu","@Usairam1 mohamed like to kill people, enslave them and rape them and you fuckers think that's okay?",@runitright1 @TheTweetOfGod didn't know lol. But ok,@SleepySteve95 @TheTweetOfGod @richarddawkins #Religion is the ugliest extension of #human #ego &amp;has nothing 2 do with #God or the #universe,@Usairam1 @withnodriver @basznocz Defending a belief system that condones wife-beating(surah4:34) and murder for unbelief makes you a dick.,"@IncredulousMark @Usairam1 @basznocz wahey there you go, its a pathetic religion",@withnodriver @basznocz All the muslim states are against ISIS and we are helping NATO fight against them.,@nselby @TheTweetOfGod  no one has guns? It says he's armed.,"@basznocz islam is a lie, just a suppressive measure for a population held most of its countries back decades.","@withnodriver @basznocz Haha. All the science you have rn is due to the sincere efforts of muslim scientists like Al-Khwarzmi,Avicenna e.t.c","@cIeopatrio @TheTweetOfGod you know it was a joke, right?","@timpoliti @runitright1 @TheTweetOfGod Allah traslate to ""The God"" in Arabic so yeah.",@fury_jen @TheTweetOfGod his voicemail is  full. Please try later.If you are not satisfied with the service we will cancel it within 30 days,@withnodriver @basznocz Were WW1 WW2 and many other wars that killed more people than any other wars started by muslims?? if u do it its gud,@basznocz @TheTweetOfGod religion is a complete fallacy,@weisblumen @IncredulousMark @withnodriver @basznocz Actually this verse was intended for those idol worshippers who betrayed their pact,@TheTweetOfGod sorry god but you're wrong. haven't you read your own prophet's hadditha?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Mosques, synagogues and churches are inviting the public to pray for Sydney hostages tonight.#sydneysiege",116.0,157.0,@elronxenu I'm surprised he hasn't been taken down by the hostages - outnumbered badly.,@TeamOyeniyi Specifically: guy was on his way to some bigger event; was discovered in transit and so holed up in the nearest place.,"@TeamOyeniyi So long as he doesn't kill any hostages, he has an excellent chance of making it out of the cafe alive.",@elronxenu So is he just holed up until the bigger event happens?,@abcnewsSydney #sydneysiege Very disturbing news and my deepest sympathy with all the hostages and their family. It must be terrible for 'em,@abcnewsSydney @jarrodmckenna Amen.,"@elronxenu I'm inclined to think outside the square on this one. Something doesn't smell right. The ADL guy turning up, the wrong flag, etc","@abcnewsSydney Oh cool, just what we need... MORE religion!","@TeamOyeniyi No, the bigger event is postponed or foiled. He's holed up to make a stand with what he's got (which is not a lot).","@elronxenu @abcnewsSydney I may be 100% wrong, but my intuition tells me this is not religion based. Something is very odd about this","@elronxenu Provided he doesn't get killed, we might get the facts at some stage. Until then, he is another nutter on a rampage.",@abcnewsSydney @TeamOyeniyi A strong round of (further) denouncing violence in the name of any religion would actually be effective.,@TeamOyeniyi That could also explain having the wrong flag - somebody else had the right flag.,@abcnewsSydney that will surely help,"@abcnewsSydney Good job Interfaith!Lots of good ppl of different faiths, some believe in Islam, called muslims, are still same good ppl","“@abcnewsSydney: Mosques, synagogues and churches are inviting the public to pray for Sydney hostages tonight.#sydneysiege”

Irony explosion","@TeamOyeniyi Well, evidence (i.e. the flag) says it is. The situation outlined by that awful RMIT guy this morning is somewhat plausible.","@abcnewsSydney @myrealisrael In termsof religion?nice to put Church,Mosque&amp;Synagoge together.But fm Synagoge?:Cruzade or suicideBomber?Never",@TeamOyeniyi Indeed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
#illridewithyou: Viral Aussie solidarity amid #SydneySiege Islamic State links http://t.co/UBuxbiXKDL http://t.co/VQCuWegDQh,85.0,148.0,@MelonRouge I'll ride u and ur mom,"@sirmomonothomo @MelonRouge 
Lol
Keep tweeting.
I said earlier:-
""The more you tweet more you expose the ugly face of an Islamist. ""
:-)",@sirmomonothomo @RT_com truth hurts dogs breath,@rhu71 @RT_com u look like ur waiting for a cum shot on that ugly face,@sirmomonothomo #iwon'tridewithyou,@RT_com Will Abbot shirtfront terrorist?,@RT_com ISIS is Islam is terror,@RT_com ISLAM is being hijacked by ISIS.  #illridewithyou,@RT_com Oh bloody good! The whole world knows #ISIS's MADE &amp; PAID by Western intel and The War on Terror is a FRAUD #sidneysiege,@pandey909 @rhu71 @RT_com I'm not Islamia u pussy IS kills my people in Syria everyday with ur country's support so go fuck ur self and Aust,"@rhu71 @RT_com  just becos austrlia chooses #illridewithyou over bigotry,it wont stop Jihad! Norway,Sweden,UK did lot, cudnt stop Jihad!","@RT_com  just becos austrlia chooses #illridewithyou over bigotry,it wont stop Jihad! Norway,Sweden,UK did lot, cudnt stop Jihad!","@sirmomonothomo @rhu71 @RT_com 
At least you can see his face.He is not hiding  behind  Naqab or burkha.
Islam is real curse on humanity.",@pandey909 @rhu71 @RT_com what u some sort of stinky paki go put ur thumb in ur mouth and suck on it everything gonna be ok child,@rhu71 @RT_com ur face is the real terror u ugly mofo,@pandey909 @rhu71 @RT_com chickens coming home to roost 500 Australian terrorist in Syria y don't u morn syrians u punk,"@sirmomonothomo @rhu71 @RT_com 
The more you tweet more you expose the ugly  face of an Islamist. 
:-)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
We continue to monitor the situation in #Sydney closely.  I've been in touch with @JulieBishopMP and expressed our thoughts and prayers.,68.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
We love the #illridewithyou initiative. Spread #love and compassion. Thoughts are with all those affected. #sydney http://t.co/EK8UycpKDn,106.0,156.0,@KatSiecris we agree. It's important to remember this today and everyday. Make #illridewithyou a lifelong pledge!,@AmnestyNSW this quote was the first thing I thought when I heard about #illridewithyou. Dr King would be proud of us today.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Sydney siege has now hit the 12 hour mark – live with latest summary of events http://t.co/IHT3o6tvtR http://t.co/cXeBIKsp0r,24.0,134.0,@guardian So this is may be 1-2 guys holding a cafeteria hostage. Irony is the same media cricised India took too long to neutralize 26/11,Excellent roundup here @guardian #Sydney siege has now hit the 12 hour mark – live with latest summary of events http://t.co/lrPLHJRi8I,“@guardian: Sydney siege has now hit the 12 hour mark – live with latest summary of events http://t.co/ODsriyu2Ao http://t.co/c8FpLltAZ1”,“@guardian: Sydney siege has now hit the 12 hour mark http://t.co/lsrZZyjrQB” unreal. hoping for all the hostages to be released unharmed.,@guardian @algernonia giving the communist view,@guardian considering this Mumbai Police did a great job in countering the terrorists on 26/11.,@guardian Adding to this is that you guys are well equipped than our police and still this is going on for more than 12hrs? Pity citizens,@guardian Gun man picked his target specifically to get media attention.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"If you're taking selfies outside the #sydneysiege hostage situation, you seriously need to reevaluate your life... http://t.co/i560wKmeOf",109.0,103.0,@Hunter_Kahn @untroublesome Must be fucking kidding me....Morons.,@Hunter_Kahn Agreed.,@Hunter_Kahn What a bunch of sick vapid twits.,@untroublesome @Hunter_Kahn Depressing.,@Hunter_Kahn yeah man I know,@Hunter_Kahn fucking idiots,@RedsFanGirl @Hunter_Kahn Wrong. These ppl were assholes to begin with. Technology is just letting more people know that they are assholes.,@Hunter_Kahn unbelievable!,"@Hunter_Kahn disgusting, they should all be caged.","@fawnknutsen @RedsFanGirl @Hunter_Kahn Our ""leaders"" r the BIGGEST assholes. PM Abbott ""Business as Usual, Nothing 2c Here. Keep spending!""","@Hunter_Kahn Couldn't agree more. Technology has turned the human race into insensitive, unintelligent narcissists.","@Hunter_Kahn I wud say PM Idiot Abbott needs 2 reevaluate his life as well. ""BUSINESSS AS USUAL FOLKS, NOTHING 2C HERE."" Keep Consuming!",@Hunter_Kahn Technology: bringing out the inner assholeness of people,"@Hunter_Kahn you should be fucking ashamed of yourself, if someone you loved was in there you wouldn't be taking selfies, you are disgusting",@hilliatfields @Hunter_Kahn What a sick world we are living in.,"@wildestdream___ I think you know this already, but just to be clear...I'm not the one taking the selfie in this photo. :)",@hilliatfields @Hunter_Kahn Yes depressing on all levels.,@fawnknutsen @RedsFanGirl @Hunter_Kahn now they're internet famous assholes! That never wears off.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
The Lebanese Muslim Association has issued a statement condemning #sydneysiege and calling for calm. http://t.co/z2hCIBPaha,73.0,121.0,@K_Michelmore @C3convertase and of course islamophobes will ignore it and say the Muslim community never speak out,@mraza67 @K_Michelmore @BandeKhuda @kassamally off course,"@K_Michelmore 
Terror has no religion
These goons who play with innocent lives should be dealt firmly
@BandeKhuda
@HamidKarbalai
@kassamally","@TheRetroExec @K_Michelmore Lebanese Muslims called for people to ""remain calm, united and to stand together"" - no mention of call to pray.","@AndrewSB49 @K_Michelmore The letter clearly ends ""We pray.......""",@K_Michelmore @AndrewSB49 Somehow don't think that it's going to be efficacy of prayer that solves either this specific or wider problem,@TheRetroExec @K_Michelmore They ARE religious people - that's mostly what they do.,"@K_Michelmore iam sure world pray for that innocent ppl
#prayforsydney",@AndrewSB49 @K_Michelmore Quite so we either question WHAT is being prayed for or its efficacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
On the #sydneysiege: all our people are safe &amp; accounted for after our Martin Place studios were evacuated. Our thoughts with all involved.,175.0,146.0,"Thank goodness ""@Channel7: On the #sydneysiege: all our people are safe &amp; accounted for after our Martin Place studios were evacuated.”",@Channel7 @sunriseon7 thank goodness,@Channel7 you are asking stupid questions.,"#sydneysiege
@Channel7: #sydneysiege: all our people safe&amp;accounted4 aft our #MartinPlace studios were evacuated
Our thoughts w all involved",RT @Channel7: On the #sydneysiege: all our people are safe &amp; accounted for after our Martin Place studios were evacuated.,". @Channel7 Now how about making it safe for police &amp; hostages by not broadcasting police movements and tactics. 

#mediamorons",@Channel7 I'm happy to hear that but what's with the massive logo scrolling,@Channel7   is there any truth to the rumour about a train being  Hijacked in edgecliff?,"@Channel7 wouldn't it be safe not to broadcast live images, so that the gunmen don't have strategic location of the cops ?",@Channel7 @7NewsSydney good news. Prayers from Canada this ends peacefully,@Channel7 good to hear you guys are safe. Let's hope the same outcome for the hostages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
To the tourists taking selfies outside the #SydneySiege - how would you like to be in that café? http://t.co/Cc5bOysMjg,273.0,698.0,@theJeremyVine absolute gobshites!,@theJeremyVine it would be great if u were in there...,"@vapple78 @NewsreaderRob so you started with #pedantry, yet suddenly definitions don't matter any more when they go against you?",@theJeremyVine Are they definitely from the siege?,@jazhowe1968 Are you in Sydney?,@theJeremyVine this is terrible. Making an ugly situation more ugly.,"@theJeremyVine 
Siege porn. Fuck, what next?","@jazhowe1968 @theJeremyVine I have lived in such a place and agree they can be a pain. Rubbernecking not confined to ""outsiders though""",@theJeremyVine sick!,"@NewsreaderRob @theJeremyVine Your surly paddling snap is, to all intents and purposes, a selfie. #pedantry","@islayblog @NewsreaderRob ...and I wouldn't necessarily say that ""definitions ... have gone against me"".","@KitchandBot @theJeremyVine true,though my comment was intended to be light hearted,not a serious critique of the tourist mindset :-)",@KitchandBot not even close-Yorkshire :-),@islayblog @NewsreaderRob Correct. Nevertheless its a portrait of sorts. To the viewer it makes little\no difference.,@theJeremyVine  Classy.,@vapple78 @NewsreaderRob I should think most people can differentiate between a portrait taken by someone else and a selfie,@theJeremyVine Asinine tweet. What would you expect tourists in another part of town to do? Stand in silence? Do they know about the siege?,"@jazhowe1968 Ha ha ha. Chester was the place I was talking about, thronged in Summer!","@vapple78 #pedantry would require ""taken with a camera held at arm's length or pointed at a mirror"" Not the case with @NewsreaderRob's pic",SMH RT @theJeremyVine:To the tourists taking selfies outside the #SydneySiege - how would you like to be in that café?http://t.co/CuX3lSH6Yu,"@theJeremyVine And this is why I will never, ever take a selfie.",@jazhowe1968 @theJeremyVine We have the stigma of Brits abroad so I do know where you are coming from. Hoping for a peaceful outcome.,@NewsreaderRob @theJeremyVine That's the spirit.,@vapple78 @theJeremyVine Who are you calling me surly?  That's me at my happiest in my happy place #islay,@theJeremyVine Can we swap them with the hostages?,"@KitchandBot @theJeremyVine fair point but have u ever lived in an area popular with tourists? they test the patience of saints,bless them","@islayblog @NewsreaderRob Fair point. But I use #pedantry to hi-light the ""nit-picking"" nature of my tweet...",@theJeremyVine sadly media will pay or use pics.,"Hope you're proud of yourself, 2014 

MT “@theJeremyVine: tourists taking selfies outside the #SydneySiege  http://t.co/Oc2WHoS0wo”",@theJeremyVine disgusting!,"@beccafosterart @theJeremyVine I don't understand why people would want to be near such a potentially violent situation, but this? UGH.",@jazhowe1968 @theJeremyVine How do you know they are all holiday makers and not locals?,@theJeremyVine so many people appear to have their brain surgically removed before venturing on holiday,@islayblog @NewsreaderRob My point us that it doesn't matter either way.,@theJeremyVine Ghouls - and their detachment from reality should worry them when they think it over.,@theJeremyVine WHAT??!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
